sku_id,stock_level,warehouse,last_updated
SKU-00001,242,WH-CENTRAL,2024-12-31
SKU-00002,994,WH-CENTRAL,2024-12-31
SKU-00003,327,WH-WEST,2024-12-31
SKU-00004,993,WH-CENTRAL,2024-12-31
SKU-00005,635,WH-WEST,2024-12-31
SKU-00006,981,WH-WEST,2024-12-31
SKU-00007,152,WH-EAST,2024-12-31
SKU-00008,254,WH-CENTRAL,2024-12-31
SKU-00009,728,WH-WEST,2024-12-31
SKU-00010,423,WH-EAST,2024-12-31
SKU-00011,231,WH-EAST,2024-12-31
SKU-00012,528,WH-CENTRAL,2024-12-31
SKU-00013,591,WH-CENTRAL,2024-12-31
SKU-00014,495,WH-CENTRAL,2024-12-31
SKU-00015,175,WH-CENTRAL,2024-12-31
SKU-00016,550,WH-WEST,2024-12-31
SKU-00017,142,WH-WEST,2024-12-31
SKU-00018,16,WH-CENTRAL,2024-12-31
SKU-00019,248,WH-CENTRAL,2024-12-31
SKU-00020,34,WH-WEST,2024-12-31
SKU-00021,800,WH-CENTRAL,2024-12-31
SKU-00022,999,WH-EAST,2024-12-31
SKU-00023,998,WH-WEST,2024-12-31
SKU-00024,145,WH-EAST,2024-12-31
SKU-00025,925,WH-EAST,2024-12-31
SKU-00026,726,WH-EAST,2024-12-31
SKU-00027,164,WH-EAST,2024-12-31
SKU-00028,110,WH-CENTRAL,2024-12-31
SKU-00029,646,WH-CENTRAL,2024-12-31
SKU-00030,73,WH-CENTRAL,2024-12-31
SKU-00031,975,WH-CENTRAL,2024-12-31
SKU-00032,667,WH-WEST,2024-12-31
SKU-00033,726,WH-CENTRAL,2024-12-31
SKU-00034,353,WH-WEST,2024-12-31
SKU-00035,273,WH-EAST,2024-12-31
SKU-00036,942,WH-WEST,2024-12-31
SKU-00037,278,WH-CENTRAL,2024-12-31
SKU-00038,659,WH-EAST,2024-12-31
SKU-00039,30,WH-EAST,2024-12-31
SKU-00040,525,WH-CENTRAL,2024-12-31
SKU-00041,534,WH-EAST,2024-12-31
SKU-00042,509,WH-EAST,2024-12-31
SKU-00043,513,WH-EAST,2024-12-31
SKU-00044,924,WH-WEST,2024-12-31
SKU-00045,177,WH-EAST,2024-12-31
SKU-00046,328,WH-EAST,2024-12-31
SKU-00047,570,WH-WEST,2024-12-31
SKU-00048,800,WH-CENTRAL,2024-12-31
SKU-00049,687,WH-WEST,2024-12-31
SKU-00050,171,WH-WEST,2024-12-31
SKU-00051,395,WH-CENTRAL,2024-12-31
SKU-00052,594,WH-CENTRAL,2024-12-31
SKU-00053,937,WH-WEST,2024-12-31
SKU-00054,979,WH-EAST,2024-12-31
SKU-00055,996,WH-CENTRAL,2024-12-31
SKU-00056,734,WH-EAST,2024-12-31
SKU-00057,34,WH-CENTRAL,2024-12-31
SKU-00058,296,WH-EAST,2024-12-31
SKU-00059,468,WH-WEST,2024-12-31
SKU-00060,950,WH-WEST,2024-12-31
SKU-00061,494,WH-WEST,2024-12-31
SKU-00062,621,WH-WEST,2024-12-31
SKU-00063,234,WH-CENTRAL,2024-12-31
SKU-00064,908,WH-WEST,2024-12-31
SKU-00065,38,WH-EAST,2024-12-31
SKU-00066,218,WH-WEST,2024-12-31
SKU-00067,216,WH-WEST,2024-12-31
SKU-00068,705,WH-WEST,2024-12-31
