sku_id,product_name,category,cogs_60d,avg_inventory,turnover_ratio
SKU-01937,Page Rise,Food & Beverage,640338.9600000001,1.0,2748.0
SKU-00842,Follow Couple,Health & Beauty,52892.46,1.0,2389.0
SKU-06023,Series Represent,Automotive,507551.77,1.0,1661.0
SKU-06309,Direction Indeed,Home & Garden,1127085.8499999999,2.0,1386.5
SKU-09949,Run Family,Health & Beauty,226076.79999999996,1.0,1333.0
SKU-05963,Fill Case,Home & Garden,416022.4800000001,1.0,1308.0
SKU-00617,Never Agree,Electronics,6383.52,1.0,806.0
SKU-09368,Number Sister,Apparel,1014928.5599999994,4.0,659.25
SKU-00314,Population Very,Toys,348875.5600000001,4.0,640.75
SKU-06067,General Car,Health & Beauty,262637.76,1.0,627.0
SKU-01740,Dark Wide,Food & Beverage,111793.54999999999,2.0,623.5
SKU-06238,Investment Film,Electronics,607521.2999999998,3.0,569.0
SKU-06304,Me Arm,Food & Beverage,144263.69999999998,2.0,535.5
SKU-05304,Speech Charge,Food & Beverage,44866.169999999984,3.0,517.67
SKU-09095,They Agreement,Toys,459858.4,2.0,510.5
SKU-00746,Book Four,Apparel,1048231.4100000003,5.0,510.2
SKU-06856,In Group,Sports,668455.32,4.0,481.0
SKU-00740,Money Recent,Home & Garden,121562.95999999999,5.0,450.4
SKU-09658,Record Couple,Electronics,30686.10000000001,1.0,439.0
SKU-06566,Whose Or,Electronics,602124.7800000001,6.0,424.83
SKU-05102,Believe Its,Health & Beauty,776239.8000000004,6.0,421.0
SKU-08698,Yet Account,Toys,512692.8,5.0,408.0
SKU-01183,Risk Blue,Health & Beauty,478822.18999999994,3.0,396.33
SKU-01498,Scene System,Health & Beauty,756623.75,7.0,382.14
SKU-06814,His Easy,Food & Beverage,1207042.4099999995,7.0,351.86
SKU-09675,Between Time,Sports,935904.6799999998,7.0,351.71
SKU-08717,Each Policy,Electronics,571550.3999999999,6.0,348.17
SKU-04218,Figure Start,Food & Beverage,733238.7700000001,8.0,345.13
SKU-00423,Leader Live,Automotive,601209.2,4.0,326.0
SKU-08719,Per Appear,Sports,140674.32000000004,2.0,324.0
SKU-07695,Society Mission,Electronics,1101365.3699999996,8.0,322.88
SKU-00459,Worry Answer,Food & Beverage,413701.2,9.0,303.11
SKU-02900,Nor Measure,Automotive,887644.7000000002,9.0,296.22
SKU-06454,Story Able,Apparel,484015.50000000006,7.0,289.29
SKU-07634,Including Same,Apparel,752616.2999999999,6.0,284.5
SKU-01725,Pay Enough,Apparel,519414.48000000004,9.0,281.33
SKU-07917,Increase Family,Automotive,392204.3999999999,3.0,280.0
SKU-03520,Along Training,Food & Beverage,634306.5000000001,5.0,279.0
SKU-01264,Common Simple,Toys,63650.45999999998,4.0,271.5
SKU-05619,With Another,Health & Beauty,844669.4800000002,8.0,254.75
SKU-00707,Bad Congress,Home & Garden,1037811.8000000003,9.0,251.44
SKU-08333,Owner Choose,Electronics,281649.87999999995,9.0,234.22
SKU-02828,Significant Suffer,Electronics,369925.0800000001,12.0,232.17
SKU-04204,Strategy Back,Apparel,25157.079999999998,6.0,218.83
SKU-01803,Despite Investment,Food & Beverage,334744.41,7.0,213.0
SKU-01179,Value Whom,Toys,431830.08,9.0,211.33
SKU-00465,Land Game,Home & Garden,854751.84,10.0,210.8
SKU-03500,A Season,Health & Beauty,754794.8199999998,11.0,208.55
SKU-08364,Look Newspaper,Home & Garden,1097113.9199999995,13.0,204.31
SKU-02487,These Doctor,Automotive,277110.5900000001,4.0,202.75
SKU-05608,Can Will,Food & Beverage,695595.9999999997,11.0,200.0
SKU-04667,Debate Mean,Apparel,543012.4700000002,7.0,187.0
SKU-06415,Ready Off,Food & Beverage,364005.0199999999,14.0,181.64
