sku_id,category,total_orders,avg_order_qty,reorder_point,procurement_efficiency_pct
SKU-02011,Toys,1,312.0,334,0.0
SKU-07632,Apparel,1,372.0,444,0.0
SKU-00046,Home & Garden,1,61.0,408,0.0
SKU-02349,Home & Garden,1,159.0,222,0.0
SKU-02359,Apparel,1,145.0,261,0.0
SKU-00104,Home & Garden,1,173.0,243,0.0
SKU-00137,Electronics,1,11.0,138,0.0
SKU-00162,Electronics,1,33.0,397,0.0
SKU-02485,Toys,1,41.0,353,0.0
SKU-02884,Toys,1,36.0,291,0.0
SKU-00227,Sports,1,203.0,434,0.0
SKU-02918,Toys,1,211.0,481,0.0
SKU-03130,Home & Garden,1,405.0,442,0.0
SKU-03152,Automotive,1,157.0,165,0.0
SKU-03260,Toys,1,233.0,335,0.0
SKU-03312,Electronics,1,337.0,493,0.0
SKU-00359,Electronics,1,150.0,483,0.0
SKU-03410,Sports,1,46.0,96,0.0
SKU-03527,Apparel,1,103.0,335,0.0
SKU-03619,Sports,1,57.0,263,0.0
SKU-03747,Health & Beauty,1,183.0,419,0.0
SKU-03750,Automotive,1,119.0,148,0.0
SKU-03756,Food & Beverage,1,233.0,269,0.0
SKU-03807,Automotive,1,305.0,455,0.0
SKU-03847,Home & Garden,1,355.0,367,0.0
SKU-03859,Health & Beauty,1,408.0,428,0.0
SKU-03864,Home & Garden,1,82.0,427,0.0
SKU-02072,Food & Beverage,1,100.0,143,0.0
SKU-00692,Automotive,1,184.0,216,0.0
SKU-00695,Apparel,1,63.0,238,0.0
SKU-04048,Apparel,1,255.0,449,0.0
SKU-04213,Food & Beverage,1,35.0,497,0.0
SKU-04526,Home & Garden,1,82.0,293,0.0
SKU-04561,Electronics,1,401.0,420,0.0
SKU-04574,Electronics,1,60.0,449,0.0
SKU-04577,Electronics,1,36.0,314,0.0
SKU-00797,Sports,1,266.0,485,0.0
SKU-04658,Automotive,1,219.0,307,0.0
SKU-04752,Electronics,1,98.0,133,0.0
SKU-04843,Apparel,1,100.0,215,0.0
SKU-00822,Home & Garden,1,209.0,300,0.0
SKU-04849,Automotive,1,177.0,335,0.0
SKU-04968,Food & Beverage,1,185.0,476,0.0
SKU-05006,Toys,1,193.0,248,0.0
SKU-05137,Health & Beauty,1,12.0,256,0.0
SKU-05321,Food & Beverage,2,199.0,475,0.0
SKU-00988,Home & Garden,1,47.0,91,0.0
SKU-05547,Apparel,1,344.0,348,0.0
SKU-05677,Sports,1,24.0,419,0.0
SKU-01008,Sports,1,198.0,374,0.0
SKU-05726,Home & Garden,1,73.0,205,0.0
SKU-05729,Food & Beverage,1,301.0,394,0.0
SKU-05808,Home & Garden,1,112.0,394,0.0
SKU-05831,Toys,1,180.0,437,0.0
SKU-05991,Apparel,1,21.0,296,0.0
SKU-06163,Health & Beauty,1,238.0,470,0.0
SKU-06188,Automotive,1,29.0,107,0.0
SKU-06287,Electronics,1,185.0,246,0.0
SKU-06312,Food & Beverage,1,60.0,445,0.0
SKU-06320,Health & Beauty,1,243.0,341,0.0
SKU-06325,Home & Garden,1,119.0,224,0.0
SKU-01095,Apparel,1,392.0,435,0.0
SKU-06483,Automotive,1,66.0,71,0.0
SKU-01106,Home & Garden,1,30.0,53,0.0
SKU-01131,Apparel,1,172.0,201,0.0
SKU-06488,Health & Beauty,1,156.0,417,0.0
SKU-06651,Sports,1,83.0,452,0.0
SKU-06678,Sports,2,226.0,487,0.0
SKU-06728,Food & Beverage,1,169.0,254,0.0
SKU-06810,Food & Beverage,1,176.0,499,0.0
SKU-06967,Home & Garden,1,79.0,282,0.0
SKU-07137,Health & Beauty,1,361.0,418,0.0
SKU-07192,Automotive,1,84.0,255,0.0
SKU-07210,Food & Beverage,1,217.0,250,0.0
SKU-01295,Home & Garden,1,27.0,214,0.0
SKU-07256,Apparel,1,66.0,148,0.0
SKU-07553,Home & Garden,1,364.0,452,0.0
SKU-07556,Health & Beauty,1,120.0,433,0.0
SKU-07620,Electronics,1,64.0,238,0.0
SKU-01322,Food & Beverage,2,152.5,481,0.0
SKU-09889,Home & Garden,1,45.0,294,0.0
SKU-07805,Toys,2,341.5,455,0.0
SKU-07822,Toys,1,259.0,454,0.0
SKU-01404,Automotive,1,18.0,153,0.0
SKU-07916,Apparel,1,233.0,462,0.0
SKU-07948,Toys,1,274.0,477,0.0
SKU-08292,Sports,1,24.0,104,0.0
SKU-08496,Apparel,1,339.0,493,0.0
SKU-08552,Apparel,1,283.0,319,0.0
SKU-08561,Apparel,1,154.0,414,0.0
SKU-08563,Electronics,2,322.0,443,0.0
SKU-08581,Apparel,1,134.0,230,0.0
SKU-08611,Automotive,1,324.0,357,0.0
SKU-08619,Apparel,1,234.0,350,0.0
SKU-08642,Automotive,1,115.0,340,0.0
SKU-08734,Toys,1,115.0,285,0.0
SKU-08784,Electronics,1,248.0,392,0.0
SKU-08835,Home & Garden,1,13.0,162,0.0
SKU-08955,Automotive,2,146.5,315,0.0
SKU-08993,Sports,1,206.0,443,0.0
SKU-09212,Food & Beverage,1,175.0,206,0.0
SKU-09237,Toys,1,400.0,419,0.0
SKU-01886,Automotive,1,118.0,145,0.0
SKU-09607,Sports,1,39.0,462,0.0
SKU-09687,Toys,1,254.0,444,0.0
SKU-04034,Automotive,1,221.0,233,0.0
SKU-00001,Toys,1,48.0,360,0.0
SKU-00036,Sports,1,68.0,122,0.0
SKU-00110,Toys,1,122.0,179,0.0
SKU-00152,Food & Beverage,1,101.0,218,0.0
SKU-00158,Apparel,1,101.0,425,0.0
SKU-00189,Toys,1,474.0,479,0.0
SKU-00368,Apparel,1,46.0,239,0.0
SKU-00369,Food & Beverage,1,380.0,389,0.0
SKU-00370,Toys,1,107.0,330,0.0
SKU-00388,Toys,1,118.0,258,0.0
SKU-00491,Health & Beauty,1,159.0,264,0.0
SKU-00578,Automotive,1,113.0,215,0.0
SKU-00582,Electronics,2,105.5,387,0.0
SKU-00781,Electronics,1,173.0,400,0.0
SKU-00872,Health & Beauty,1,339.0,438,0.0
SKU-00954,Home & Garden,1,159.0,281,0.0
SKU-00960,Toys,1,303.0,432,0.0
SKU-01097,Apparel,1,15.0,459,0.0
SKU-01104,Electronics,1,354.0,497,0.0
SKU-01196,Sports,1,488.0,492,0.0
SKU-01257,Automotive,1,124.0,471,0.0
SKU-01341,Toys,1,22.0,355,0.0
SKU-01369,Electronics,1,357.0,492,0.0
SKU-01375,Food & Beverage,1,56.0,487,0.0
SKU-01441,Electronics,2,201.0,459,0.0
SKU-01455,Electronics,1,36.0,146,0.0
SKU-01464,Food & Beverage,1,110.0,345,0.0
SKU-01660,Health & Beauty,1,27.0,230,0.0
SKU-02077,Home & Garden,1,211.0,469,0.0
SKU-02085,Electronics,1,179.0,338,0.0
SKU-02264,Apparel,1,137.0,448,0.0
SKU-02274,Apparel,1,333.0,459,0.0
SKU-02443,Home & Garden,1,64.0,493,0.0
SKU-02571,Apparel,1,233.0,470,0.0
SKU-02588,Apparel,1,241.0,466,0.0
SKU-02666,Sports,1,89.0,410,0.0
SKU-02670,Food & Beverage,1,233.0,483,0.0
SKU-02671,Food & Beverage,1,83.0,272,0.0
SKU-02775,Health & Beauty,1,286.0,346,0.0
SKU-02848,Home & Garden,1,23.0,477,0.0
SKU-02857,Apparel,1,15.0,185,0.0
SKU-02951,Automotive,2,51.0,262,0.0
SKU-02956,Sports,1,78.0,252,0.0
SKU-03013,Sports,1,418.0,450,0.0
SKU-03094,Automotive,1,166.0,208,0.0
