sku_id,product_name,category,supplier_id,lead_time_days,reorder_point,unit_cost
SKU-00001,Present Hard,Toys,SUP-051,5,360,374.43
SKU-00002,Senior Voice,Home & Garden,SUP-071,28,183,4.79
SKU-00003,Unit That,Sports,SUP-048,14,434,149.95
SKU-00004,Fill Manager,Toys,SUP-019,23,105,312.77
SKU-00005,Gas Feel,Food & Beverage,SUP-006,5,409,62.33
SKU-00006,Single Performance,Health & Beauty,SUP-084,17,163,37.92
SKU-00007,Early Myself,Sports,SUP-155,23,137,414.63
SKU-00008,Develop Another,Sports,SUP-053,12,187,227.71
SKU-00009,Four Onto,Toys,SUP-107,3,157,428.2
SKU-00010,Second Citizen,Apparel,SUP-101,16,72,412.22
SKU-00011,Degree Himself,Food & Beverage,SUP-048,29,193,446.95
SKU-00012,Audience World,Toys,SUP-135,22,406,26.52
SKU-00013,Message Tv,Food & Beverage,SUP-187,8,193,95.1
SKU-00014,First Thing,Food & Beverage,SUP-069,4,105,149.83
SKU-00015,Seat Part,Health & Beauty,SUP-011,25,157,70.27
SKU-00016,Less Perform,Sports,SUP-143,10,400,244.02
SKU-00017,Wish Evidence,Home & Garden,SUP-192,3,55,399.99
SKU-00018,Only List,Health & Beauty,SUP-131,6,79,475.71
SKU-00019,Ten Argue,Health & Beauty,SUP-122,29,496,445.06
SKU-00020,Live Size,Food & Beverage,SUP-069,6,434,230.02
SKU-00021,Feeling Develop,Automotive,SUP-023,7,356,319.15
SKU-00022,Decade Third,Sports,SUP-181,22,411,117.27
SKU-00023,Against Third,Apparel,SUP-037,11,394,203.0
SKU-00024,Either Traditional,Health & Beauty,SUP-009,25,176,435.91
SKU-00025,From Other,Home & Garden,SUP-015,15,351,17.03
SKU-00026,Deep Wind,Automotive,SUP-131,20,170,267.55
SKU-00027,On Husband,Automotive,SUP-093,19,454,436.72
SKU-00028,Book Sit,Apparel,SUP-198,27,148,63.2
SKU-00029,Owner Form,Health & Beauty,SUP-017,3,215,491.32
SKU-00030,Enter Social,Home & Garden,SUP-154,24,374,8.66
SKU-00031,Discover Help,Sports,SUP-149,17,368,443.34
SKU-00032,Nothing Hard,Electronics,SUP-072,4,290,178.45
SKU-00033,Two Exactly,Home & Garden,SUP-149,18,99,68.51
SKU-00034,Range Organization,Apparel,SUP-121,22,317,80.79
SKU-00035,Election Find,Automotive,SUP-011,24,374,351.34
SKU-00036,Would Story,Sports,SUP-166,7,122,435.68
SKU-00037,School Next,Home & Garden,SUP-072,29,349,321.43
SKU-00038,All Team,Electronics,SUP-106,24,101,464.54
SKU-00039,To Commercial,Electronics,SUP-125,21,314,421.63
SKU-00040,Across Us,Food & Beverage,SUP-035,7,276,6.99
SKU-00041,Guess Maintain,Food & Beverage,SUP-119,4,242,335.54
SKU-00042,Write Investment,Toys,SUP-014,9,423,154.06
SKU-00043,Send Friend,Apparel,SUP-014,5,288,228.61
SKU-00044,Thought Order,Health & Beauty,SUP-010,19,59,49.28
SKU-00045,Floor Cost,Home & Garden,SUP-140,26,351,142.84
SKU-00046,Compare Should,Home & Garden,SUP-038,26,408,317.26
SKU-00047,Other Someone,Health & Beauty,SUP-108,5,277,111.15
SKU-00048,Add Entire,Toys,SUP-119,15,491,324.65
SKU-00049,Thus Anything,Automotive,SUP-034,9,342,461.71
SKU-00050,Or Reality,Automotive,SUP-169,27,101,4.96
SKU-00051,Fast Memory,Toys,SUP-010,26,289,393.42
SKU-00052,Fund Record,Automotive,SUP-122,5,148,321.56
SKU-00053,Different Particularly,Food & Beverage,SUP-145,17,130,25.7
SKU-00054,Campaign Campaign,Home & Garden,SUP-145,20,62,395.61
SKU-00055,Network Economy,Toys,SUP-195,12,439,114.2
SKU-00056,World Surface,Home & Garden,SUP-190,25,491,134.75
SKU-00057,Street Himself,Health & Beauty,SUP-115,9,406,49.02
SKU-00058,Different Close,Electronics,SUP-001,11,177,268.35
SKU-00059,Determine Attorney,Food & Beverage,SUP-012,7,353,250.37
SKU-00060,Interest Company,Sports,SUP-103,22,465,175.22
SKU-00061,Her Writer,Food & Beverage,SUP-004,10,60,86.46
SKU-00062,Field Ten,Toys,SUP-170,16,130,419.38
SKU-00063,Better Because,Sports,SUP-141,6,310,438.5
SKU-00064,Board Well,Electronics,SUP-098,22,55,271.44
SKU-00065,Customer Perform,Toys,SUP-106,16,422,124.0
SKU-00066,Hit Wait,Apparel,SUP-085,14,271,50.31
SKU-00067,Choice Same,Home & Garden,SUP-121,4,454,434.6
SKU-00068,Indeed Week,Electronics,SUP-132,15,347,50.29
SKU-00069,Rock Clear,Home & Garden,SUP-082,3,130,9.06
SKU-00070,Than Father,Automotive,SUP-197,22,460,236.03
SKU-00071,Option Author,Apparel,SUP-019,9,52,366.31
SKU-00072,Just Participant,Apparel,SUP-130,27,109,230.12
SKU-00073,Economy By,Electronics,SUP-012,11,270,28.08
SKU-00074,Concern Hand,Apparel,SUP-081,28,499,345.79
SKU-00075,Teach Reason,Sports,SUP-074,19,398,322.06
SKU-00076,Sure Recognize,Apparel,SUP-098,23,98,341.56
SKU-00077,Follow Wear,Home & Garden,SUP-006,25,277,107.57
SKU-00078,Kid Appear,Home & Garden,SUP-136,15,339,398.36
SKU-00079,Door Scientist,Toys,SUP-125,25,342,240.89
SKU-00080,Water Lay,Home & Garden,SUP-051,12,347,269.34
SKU-00081,Dinner Sport,Toys,SUP-011,18,242,274.05
SKU-00082,Live Behavior,Home & Garden,SUP-191,8,493,145.19
SKU-00083,Customer Early,Sports,SUP-185,18,306,126.94
SKU-00084,Bit Small,Health & Beauty,SUP-127,13,492,4.87
SKU-00085,Industry Enjoy,Toys,SUP-140,28,437,199.81
SKU-00086,Region Loss,Food & Beverage,SUP-073,22,152,243.84
SKU-00087,Approach Too,Automotive,SUP-002,5,447,372.04
SKU-00088,Film Figure,Electronics,SUP-008,11,415,35.65
SKU-00089,Store Camera,Home & Garden,SUP-139,17,195,462.18
