order_id,sku_id,order_date,order_quantity,supplier_id
PO-000001,SKU-01517,2024-03-28,66,SUP-033
PO-000002,SKU-00543,2024-03-28,513,SUP-071
PO-000003,SKU-03523,2024-09-12,155,SUP-082
PO-000004,SKU-03454,2024-04-21,368,SUP-198
PO-000005,SKU-01221,2024-02-24,30,SUP-084
PO-000006,SKU-02627,2024-10-25,603,SUP-131
PO-000007,SKU-05218,2024-08-15,556,SUP-162
PO-000008,SKU-08151,2024-07-02,862,SUP-163
PO-000009,SKU-06000,2024-12-22,455,SUP-045
PO-000010,SKU-03543,2024-11-13,506,SUP-177
PO-000011,SKU-06608,2024-03-15,272,SUP-128
PO-000012,SKU-01669,2024-12-26,91,SUP-127
PO-000013,SKU-05643,2024-06-26,538,SUP-061
PO-000014,SKU-00040,2024-06-29,544,SUP-191
PO-000015,SKU-05985,2024-10-21,983,SUP-042
PO-000016,SKU-01507,2024-12-14,63,SUP-010
PO-000017,SKU-05034,2024-08-19,987,SUP-085
PO-000018,SKU-04089,2024-02-08,390,SUP-047
PO-000019,SKU-01567,2024-08-06,629,SUP-141
PO-000020,SKU-08740,2024-04-15,258,SUP-072
PO-000021,SKU-03098,2024-07-25,194,SUP-136
PO-000022,SKU-00480,2024-10-01,165,SUP-063
PO-000023,SKU-06796,2024-07-04,633,SUP-154
PO-000024,SKU-04997,2024-10-30,457,SUP-137
PO-000025,SKU-01187,2024-11-01,937,SUP-054
PO-000026,SKU-08130,2024-11-03,245,SUP-155
PO-000027,SKU-09955,2024-03-15,238,SUP-155
PO-000028,SKU-04390,2024-12-05,880,SUP-182
PO-000029,SKU-03000,2024-04-10,337,SUP-087
PO-000030,SKU-05006,2024-03-28,193,SUP-052
PO-000031,SKU-08389,2024-11-24,813,SUP-096
PO-000032,SKU-08682,2024-11-11,639,SUP-171
PO-000033,SKU-02214,2024-10-15,518,SUP-060
PO-000034,SKU-09871,2024-03-28,592,SUP-106
PO-000035,SKU-03798,2024-05-17,275,SUP-136
PO-000036,SKU-05719,2024-01-14,729,SUP-062
PO-000037,SKU-00139,2024-01-02,665,SUP-177
PO-000038,SKU-06505,2024-01-08,107,SUP-020
PO-000039,SKU-06315,2024-10-03,552,SUP-121
PO-000040,SKU-06485,2024-11-16,436,SUP-074
PO-000041,SKU-00967,2024-05-07,656,SUP-059
PO-000042,SKU-01151,2024-11-16,766,SUP-133
PO-000043,SKU-03537,2024-07-24,63,SUP-118
PO-000044,SKU-03346,2024-04-24,485,SUP-095
PO-000045,SKU-01335,2024-01-08,495,SUP-020
PO-000046,SKU-04431,2024-03-04,85,SUP-071
PO-000047,SKU-04231,2024-03-12,112,SUP-140
PO-000048,SKU-04001,2024-05-26,317,SUP-162
PO-000049,SKU-06182,2024-07-21,287,SUP-013
PO-000050,SKU-04569,2024-07-29,588,SUP-134
PO-000051,SKU-00743,2024-07-26,60,SUP-003
PO-000052,SKU-03521,2024-03-28,32,SUP-010
PO-000053,SKU-03343,2024-03-24,751,SUP-140
PO-000054,SKU-04793,2024-07-12,810,SUP-083
PO-000055,SKU-05487,2024-04-14,112,SUP-125
PO-000056,SKU-02355,2024-10-02,391,SUP-048
PO-000057,SKU-07179,2024-08-08,159,SUP-113
PO-000058,SKU-03812,2024-03-01,801,SUP-028
PO-000059,SKU-04834,2024-10-01,237,SUP-012
PO-000060,SKU-01658,2024-06-02,545,SUP-165
PO-000061,SKU-06233,2024-06-18,955,SUP-181
PO-000062,SKU-07563,2024-12-23,656,SUP-041
PO-000063,SKU-02011,2024-11-03,312,SUP-155
PO-000064,SKU-05909,2024-02-05,569,SUP-164
PO-000065,SKU-01945,2024-09-04,324,SUP-193
PO-000066,SKU-08334,2024-05-22,965,SUP-181
PO-000067,SKU-00992,2024-02-19,931,SUP-052
PO-000068,SKU-08647,2024-01-05,250,SUP-121
PO-000069,SKU-01202,2024-06-13,85,SUP-029
PO-000070,SKU-09435,2024-05-03,566,SUP-159
PO-000071,SKU-07524,2024-05-10,986,SUP-075
PO-000072,SKU-00779,2024-11-15,702,SUP-065
PO-000073,SKU-05811,2024-11-03,677,SUP-108
PO-000074,SKU-07781,2024-10-25,328,SUP-068
PO-000075,SKU-01225,2024-08-13,715,SUP-061
PO-000076,SKU-05200,2024-03-18,781,SUP-174
PO-000077,SKU-01398,2024-10-19,149,SUP-084
PO-000078,SKU-01503,2024-05-14,334,SUP-154
PO-000079,SKU-03514,2024-03-16,349,SUP-098
PO-000080,SKU-08420,2024-08-21,246,SUP-061
PO-000081,SKU-01884,2024-04-20,478,SUP-187
PO-000082,SKU-00092,2024-02-11,815,SUP-100
PO-000083,SKU-07641,2024-05-30,717,SUP-176
PO-000084,SKU-09560,2024-10-08,676,SUP-080
PO-000085,SKU-03399,2024-01-09,502,SUP-167
PO-000086,SKU-00497,2024-10-08,371,SUP-191
PO-000087,SKU-05022,2024-12-21,664,SUP-004
PO-000088,SKU-03546,2024-06-09,930,SUP-044
PO-000089,SKU-02057,2024-04-17,325,SUP-181
PO-000090,SKU-09051,2024-12-24,101,SUP-199
PO-000091,SKU-06422,2024-10-15,973,SUP-171
PO-000092,SKU-04566,2024-10-05,722,SUP-066
PO-000093,SKU-01457,2024-09-10,495,SUP-192
PO-000094,SKU-03259,2024-10-12,33,SUP-095
PO-000095,SKU-02195,2024-08-09,575,SUP-192
PO-000096,SKU-03697,2024-10-07,325,SUP-027
PO-000097,SKU-08588,2024-03-10,56,SUP-037
PO-000098,SKU-07547,2024-06-04,382,SUP-157
PO-000099,SKU-00763,2024-09-19,29,SUP-159
PO-000100,SKU-02846,2024-08-02,434,SUP-139
PO-000101,SKU-07611,2024-10-13,187,SUP-096
PO-000102,SKU-06651,2024-12-18,83,SUP-072
PO-000103,SKU-06458,2024-12-01,669,SUP-018
