sku_id,product_name,category,stock_level,avg_daily_demand,lead_time_days,demand_during_lead_time,safety_stock_buffer,stockout_risk_flag
SKU-00874,Boy Television,Electronics,64,45.43333333333333,29,1318.0,-1253.5666666666666,HIGH RISK
SKU-00314,Population Very,Toys,4,42.71666666666667,29,1239.0,-1234.7833333333333,HIGH RISK
SKU-03317,Mother Movie,Home & Garden,70,44.9,29,1302.0,-1232.1,HIGH RISK
SKU-09355,Yourself Shoulder,Automotive,36,44.85,28,1256.0,-1219.8,HIGH RISK
SKU-08259,Per Husband,Health & Beauty,26,44.13333333333333,28,1236.0,-1209.7333333333333,HIGH RISK
SKU-01779,Product Station,Health & Beauty,79,44.36666666666667,29,1287.0,-1207.6333333333334,HIGH RISK
SKU-00417,Down Add,Sports,108,44.583333333333336,29,1293.0,-1184.9166666666667,HIGH RISK
SKU-04858,All Mother,Food & Beverage,124,45.1,29,1308.0,-1183.9,HIGH RISK
SKU-03158,Onto Politics,Toys,144,47.016666666666666,28,1316.0,-1172.4666666666667,HIGH RISK
SKU-01727,Form Near,Home & Garden,126,45.46666666666667,28,1273.0,-1147.0666666666666,HIGH RISK
SKU-06012,Experience Attack,Toys,98,44.166666666666664,28,1237.0,-1138.6666666666665,HIGH RISK
SKU-08894,Admit Reduce,Health & Beauty,55,42.4,28,1187.0,-1132.2,HIGH RISK
SKU-02319,Argue Staff,Food & Beverage,30,41.45,28,1161.0,-1130.6000000000001,HIGH RISK
SKU-05970,Game Small,Electronics,21,41.016666666666666,28,1148.0,-1127.4666666666667,HIGH RISK
SKU-06538,Building Your,Food & Beverage,109,43.88333333333333,28,1229.0,-1119.7333333333333,HIGH RISK
SKU-04364,So Dinner,Sports,80,42.63333333333333,28,1194.0,-1113.7333333333333,HIGH RISK
SKU-08577,How Than,Sports,54,41.666666666666664,28,1167.0,-1112.6666666666665,HIGH RISK
SKU-02714,Say Their,Home & Garden,30,45.36666666666667,25,1134.0,-1104.1666666666667,HIGH RISK
SKU-00746,Book Four,Apparel,5,42.516666666666666,26,1105.0,-1100.4333333333334,HIGH RISK
SKU-03887,Minute Week,Automotive,182,43.93333333333333,29,1274.0,-1092.0666666666666,HIGH RISK
SKU-01276,Everything Lay,Health & Beauty,107,41.25,29,1196.0,-1089.25,HIGH RISK
SKU-00905,Dinner Clear,Food & Beverage,78,40.15,29,1164.0,-1086.35,HIGH RISK
SKU-08130,Test Improve,Home & Garden,138,45.233333333333334,27,1221.0,-1083.3,HIGH RISK
SKU-08713,Common Activity,Home & Garden,64,43.8,26,1139.0,-1074.8,HIGH RISK
